,observation_date,UnemploymentRate,GDP,CommLoans,CPIGrowthRate,FedFunds,MoneySupply,ProducerPriceIndex,RELoans,year,month,quarter
0,1960-01-01,5.2,15.572096522021198,39.5918,-0.34013605442177,3.99,301.5,31.6,27.6453,1960,1,Q1
1,1960-02-01,4.8,6.220611743311666,39.3687,0.341296928327646,3.97,298.5,31.6,27.5965,1960,2,Q1
2,1960-03-01,5.4,-4.063160376226396,40.1776,0.0,3.84,298.2,31.8,27.6361,1960,3,Q1
3,1960-04-01,5.2,-4.13411709501124,40.6229,0.34013605442177,3.92,300.3,31.8,27.6951,1960,4,Q2
4,1960-05-01,5.1,-3.431831840766222,40.8703,0.0,3.85,298.9,31.7,27.7338,1960,5,Q2
5,1960-06-01,5.4,1.6717190609236567,41.3903,0.3389830508474479,3.32,300.9,31.7,27.7663,1960,6,Q2
6,1960-07-01,5.5,5.582458100341482,41.2177,0.0,3.23,303.5,31.7,27.8159,1960,7,Q3
7,1960-08-01,5.6,2.5542994383507684,40.9506,0.0,2.98,305.2,31.6,27.8943,1960,8,Q3
8,1960-09-01,5.5,-4.110420757802567,41.3191,0.0,2.6,307.8,31.6,27.9942,1960,9,Q3
9,1960-10-01,6.1,-7.617264739715838,41.5618,0.675675675675678,2.47,309.9,31.7,28.0913,1960,10,Q4
10,1960-11-01,6.1,-7.743320027221583,41.865,0.0,2.44,311.7,31.7,28.131,1960,11,Q4
11,1960-12-01,6.6,-2.4792001258529677,42.682,0.0,1.98,315.3,31.7,28.2332,1960,12,Q4
12,1961-01-01,6.6,5.955818853109133,42.0169,0.0,1.45,317.5,31.8,28.2006,1961,1,Q1
13,1961-02-01,6.9,6.1602671552618675,41.5387,0.0,2.54,316.6,31.8,28.1339,1961,2,Q1
14,1961-03-01,6.9,6.706812993260577,42.2205,0.0,2.02,317.2,31.8,28.1925,1961,3,Q1
15,1961-04-01,7.0,6.291639905115289,42.3423,0.0,1.49,320.2,31.6,28.2346,1961,4,Q2
16,1961-05-01,7.1,6.941319054310802,42.133,0.0,1.98,320.0,31.5,28.3514,1961,5,Q2
17,1961-06-01,6.9,8.260042798786825,42.4998,0.0,1.73,322.7,31.3,28.6777,1961,6,Q2
18,1961-07-01,7.0,7.728706131237534,42.3813,0.671140939597318,1.17,324.9,31.5,28.8884,1961,7,Q3
19,1961-08-01,6.6,8.445615493075081,42.257,-0.333333333333335,2.0,325.8,31.5,29.0396,1961,8,Q3
20,1961-09-01,6.7,5.007983243249655,42.6525,0.334448160535118,1.88,328.8,31.5,29.177,1961,9,Q3
21,1961-10-01,6.5,8.373014490957834,42.9749,0.0,2.26,331.5,31.5,29.2741,1961,10,Q4
22,1961-11-01,6.1,9.048852370893748,43.3042,0.0,2.61,334.1,31.5,29.4325,1961,11,Q4
23,1961-12-01,6.0,8.221043589827005,44.4055,0.0,2.33,338.5,31.6,29.6635,1961,12,Q4
24,1962-01-01,5.8,5.397993409107627,43.9865,0.0,2.15,341.1,31.7,29.7873,1962,1,Q1
25,1962-02-01,5.5,8.779031668010916,43.4841,0.333333333333335,2.37,340.3,31.7,29.8604,1962,2,Q1
26,1962-03-01,5.6,4.347202417075842,44.2795,0.0,2.85,342.1,31.7,30.0198,1962,3,Q1
27,1962-04-01,5.6,2.1257240121110432,44.6802,0.3322259136212639,2.78,346.0,31.6,30.3319,1962,4,Q2
28,1962-05-01,5.5,2.378291278048338,44.8536,0.0,2.36,345.0,31.5,30.722,1962,5,Q2
29,1962-06-01,5.5,3.816010246449219,45.6208,0.0,2.68,347.7,31.5,31.2584,1962,6,Q2
30,1962-07-01,5.4,7.292237538455213,45.5173,0.331125827814571,2.71,350.1,31.6,31.6555,1962,7,Q3
31,1962-08-01,5.7,4.756649070269133,45.495,0.0,2.93,350.9,31.6,31.992,1962,8,Q3
32,1962-09-01,5.6,2.66318214289021,46.2177,0.330033003300331,2.9,353.9,31.9,32.3827,1962,9,Q3
33,1962-10-01,5.4,-1.29234092206784,46.7962,0.0,2.9,357.5,31.7,32.7691,1962,10,Q4
34,1962-11-01,5.7,1.37825700642987,47.3396,0.0,2.94,360.5,31.7,33.1625,1962,11,Q4
35,1962-12-01,5.5,2.834338285625092,48.0736,0.0,2.93,365.8,31.6,33.4189,1962,12,Q4
36,1963-01-01,5.7,5.357028288467916,47.6917,0.0,2.92,369.1,31.6,33.6746,1963,1,Q1
37,1963-02-01,5.9,6.740377049889385,47.4612,0.0,3.0,368.0,31.5,33.9177,1963,2,Q1
38,1963-03-01,5.7,2.5396263536498567,48.1549,0.328947368421054,2.98,369.8,31.5,34.1119,1963,3,Q1
39,1963-04-01,5.7,2.7546314974446715,48.5211,0.0,2.9,373.8,31.4,34.4806,1963,4,Q2
40,1963-05-01,5.9,5.222113538819621,48.6646,0.0,3.0,373.4,31.5,35.0311,1963,5,Q2
41,1963-06-01,5.6,9.652981729690698,49.3921,0.327868852459018,2.99,376.7,31.6,35.8205,1963,6,Q2
42,1963-07-01,5.6,11.62056822690874,49.2882,0.326797385620916,3.02,380.2,31.7,36.3883,1963,7,Q3
43,1963-08-01,5.4,8.016873183502293,49.0485,0.0,3.49,381.5,31.6,36.82,1963,8,Q3
44,1963-09-01,5.5,2.9013803543542926,49.6384,0.0,3.48,384.9,31.6,37.2463,1963,9,Q3
45,1963-10-01,5.5,0.0801860468218049,50.3057,0.3257328990228029,3.5,388.8,31.6,37.6336,1963,10,Q4
46,1963-11-01,5.7,0.9387732187025316,51.3271,0.0,3.48,392.3,31.7,38.0212,1963,11,Q4
47,1963-12-01,5.5,7.515694165050931,52.8205,0.3246753246753259,3.38,396.4,31.6,38.2283,1963,12,Q4
48,1964-01-01,5.6,11.695991138761723,52.4673,0.0,3.48,399.5,31.8,38.5058,1964,1,Q1
49,1964-02-01,5.4,10.166887148055393,52.1675,0.0,3.48,397.6,31.6,38.8426,1964,2,Q1
